profile_key,renewable_level,fossil_level,low_carbon_level,start_date,end_date,is_current
3,LOW,LOW,LOW,2026-06-02,,true
4,LOW,LOW,LOW,2026-06-02,,true
5,LOW,LOW,LOW,2026-06-02,,true
7,LOW,LOW,LOW,2026-06-02,,true
14,LOW,LOW,LOW,2026-06-02,,true
18,LOW,LOW,LOW,2026-06-02,,true
22,LOW,LOW,LOW,2026-06-02,,true
23,LOW,LOW,LOW,2026-06-02,,true
27,LOW,LOW,LOW,2026-06-02,,true
30,LOW,LOW,LOW,2026-06-02,,true
35,LOW,LOW,LOW,2026-06-02,,true
36,LOW,LOW,LOW,2026-06-02,,true
37,LOW,LOW,LOW,2026-06-02,,true
38,LOW,LOW,LOW,2026-06-02,,true
39,LOW,LOW,LOW,2026-06-02,,true
41,LOW,LOW,LOW,2026-06-02,,true
44,LOW,LOW,LOW,2026-06-02,,true
45,LOW,LOW,LOW,2026-06-02,,true
52,LOW,LOW,LOW,2026-06-02,,true
54,LOW,LOW,LOW,2026-06-02,,true
56,LOW,LOW,LOW,2026-06-02,,true
60,LOW,LOW,LOW,2026-06-02,,true
61,LOW,LOW,LOW,2026-06-02,,true
65,LOW,LOW,LOW,2026-06-02,,true
67,LOW,LOW,LOW,2026-06-02,,true
70,LOW,LOW,LOW,2026-06-02,,true
72,LOW,LOW,LOW,2026-06-02,,true
75,LOW,LOW,LOW,2026-06-02,,true
76,LOW,LOW,LOW,2026-06-02,,true
80,LOW,LOW,LOW,2026-06-02,,true
86,LOW,LOW,LOW,2026-06-02,,true
87,LOW,LOW,LOW,2026-06-02,,true
95,LOW,LOW,LOW,2026-06-02,,true
96,LOW,LOW,LOW,2026-06-02,,true
108,LOW,LOW,LOW,2026-06-02,,true
110,LOW,LOW,LOW,2026-06-02,,true
113,LOW,LOW,LOW,2026-06-02,,true
114,LOW,LOW,LOW,2026-06-02,,true
115,LOW,LOW,LOW,2026-06-02,,true
116,LOW,LOW,LOW,2026-06-02,,true
122,LOW,LOW,LOW,2026-06-02,,true
123,LOW,LOW,LOW,2026-06-02,,true
127,LOW,LOW,LOW,2026-06-02,,true
128,LOW,LOW,LOW,2026-06-02,,true
139,LOW,LOW,LOW,2026-06-02,,true
143,LOW,LOW,LOW,2026-06-02,,true
144,LOW,LOW,LOW,2026-06-02,,true
148,LOW,LOW,LOW,2026-06-02,,true
152,LOW,LOW,LOW,2026-06-02,,true
153,LOW,LOW,LOW,2026-06-02,,true
154,LOW,LOW,LOW,2026-06-02,,true
155,LOW,LOW,LOW,2026-06-02,,true
156,LOW,LOW,LOW,2026-06-02,,true
164,LOW,LOW,LOW,2026-06-02,,true
165,LOW,LOW,LOW,2026-06-02,,true
171,LOW,LOW,LOW,2026-06-02,,true
177,LOW,LOW,LOW,2026-06-02,,true
181,LOW,LOW,LOW,2026-06-02,,true
183,LOW,LOW,LOW,2026-06-02,,true
186,LOW,LOW,LOW,2026-06-02,,true
197,LOW,LOW,LOW,2026-06-02,,true
199,LOW,LOW,LOW,2026-06-02,,true
201,LOW,LOW,LOW,2026-06-02,,true
207,LOW,LOW,LOW,2026-06-02,,true
209,LOW,LOW,LOW,2026-06-02,,true
212,LOW,LOW,LOW,2026-06-02,,true
219,LOW,LOW,LOW,2026-06-02,,true
224,LOW,LOW,LOW,2026-06-02,,true
225,LOW,LOW,LOW,2026-06-02,,true
232,LOW,LOW,LOW,2026-06-02,,true
233,LOW,LOW,LOW,2026-06-02,,true
